query,tmdb_id,title,year,language,vote_average,vote_count,genres,country,keywords,crew,overview
custom,11299,Cowboy Bebop: The Movie,2001,ja,7.722,1034,"Action, Animation, Science Fiction",,"[""halloween"", ""revenge"", ""space western"", ""lethal virus"", ""adult animation"", ""neo-western"", ""anime"", ""excited"", ""vibrant""]","{""director"": [""Shinichiro Watanabe""], ""writers"": [""Keiko Nobumoto""], ""cinematographer"": [""Youichi Ogami""], ""composer"": [""Yoko Kanno""], ""editor"": [""Shuichi Kakesu""]}","The year is 2071. Following a terrorist bombing, a deadly virus is released on the populace of Mars and the government has issued the largest bounty in history, for the capture of whoever is behind it. The bounty hunter crew of the spaceship Bebop; Spike, Faye, Jet and Ed, take the case with hopes of cashing in the bounty. However, the mystery surrounding the man responsible, Vincent, goes deeper than they ever imagined, and they aren't the only ones hunting him."
custom,545611,Everything Everywhere All at Once,2022,en,7.719,7933,"Action, Adventure, Science Fiction",,"[""mother"", ""martial arts"", ""kung fu"", ""nihilism"", ""philosophy"", ""generations conflict"", ""chinese woman"", ""surrealism"", ""laundromat"", ""chinese"", ""east asian lead"", ""divorce"", ""family"", ""lgbt"", ""hot dog"", ""asian woman"", ""chinese immigrant"", ""complex"", ""mother daughter relationship"", ""action comedy"", ""asian american"", ""inspirational"", ""intergenerational trauma"", ""internal revenue service"", ""interdimensional travel"", ""sentimental"", ""intense"", ""awestruck"", ""forceful"", ""ridiculous""]","{""director"": [""Daniel Scheinert"", ""Daniel Kwan""], ""writers"": [""Daniel Scheinert"", ""Daniel Kwan""], ""cinematographer"": [""Larkin Seiple""], ""composer"": [""Ryan Lott"", ""Ian Chang"", ""Rafiq Bhatia""], ""editor"": [""Paul Rogers""]}","An aging Chinese immigrant is swept up in an insane adventure, where she alone can save what's important to her by connecting with the lives she could have led in other universes."
custom,302960,Scooby-Doo! Moon Monster Madness,2015,en,7.701,174,"Adventure, Animation, Family, Comedy, Mystery, Science Fiction",,"[""moon"", ""alien"", ""criminal investigation""]","{""director"": [""Paul McEvoy""], ""writers"": [""Mark Banker""], ""cinematographer"": [], ""composer"": [""Andy Sturmer""], ""editor"": [""Kyle Stafford""]}","It's one giant step for dog-kind as Scooby-Doo and the Gang blast off for an epic, other-worldly adventure in this all-new original movie! After winning the last 5 seats in a lottery, Scooby-Doo, Shaggy, Fred, Daphne and Velma are off to space in billionaire Sly Baron's brand new ship, the Sly Star One. It's all gravity-free fun until a mysterious alien begins destroying the ship! As the ship breaks down, the crew is forced to land on Sly Baron's base... on the dark side of the moon! Will the gang unravel this alien mystery? Will Scooby-Doo and Shaggy find snacks on the moon? Will Fred ever take his space helmet off?! Journey to the outer limits with Scooby-Doo to find out!"
custom,286217,The Martian,2015,en,7.698,21194,"Science Fiction, Drama, Adventure",,"[""spacecraft"", ""planet mars"", ""based on novel or book"", ""nasa"", ""isolation"", ""botanist"", ""survival"", ""space"", ""engineering"", ""stranded"", ""astronaut"", ""struggle for survival"", ""aftercreditsstinger"", ""duringcreditsstinger"", ""curious"", ""deep space"", ""philosophical"", ""2030s"", ""faithful adaptation"", ""cheerful"", ""optimistic""]","{""director"": [""Ridley Scott""], ""writers"": [""Drew Goddard""], ""cinematographer"": [""Dariusz Wolski""], ""composer"": [""Harry Gregson-Williams""], ""editor"": [""Pietro Scalia""]}","During a manned mission to Mars, Astronaut Mark Watney is presumed dead after a fierce storm and left behind by his crew. But Watney has survived and finds himself stranded and alone on the hostile planet. With only meager supplies, he must draw upon his ingenuity, wit and spirit to subsist and find a way to signal to Earth that he is alive."
custom,20874,Kin-dza-dza!,1986,ru,7.7,287,"Comedy, Science Fiction, Adventure",,"[""spacecraft"", ""soviet union"", ""post-apocalyptic future"", ""universe"", ""totalitarianism"", ""cosmos""]","{""director"": [""Georgiy Daneliya""], ""writers"": [""Georgiy Daneliya"", ""Revaz Gabriadze""], ""cinematographer"": [""Pavel Lebeshev""], ""composer"": [""Gia Kancheli""], ""editor"": [""Natalya Dobrunova"", ""Tatyana Egorycheva""]}",Two Soviet humans previously unknown to each other are transported to the planet Pluke in the Kin-dza-dza galaxy due to a chance encounter with an alien teleportation device. They must come to grips with a language barrier and Plukian social norms (not to mention the laws of space and time) if they ever hope to return to Earth.
custom,297222,PK,2014,hi,7.692,1152,"Comedy, Drama, Science Fiction",,"[""friendship"", ""society"", ""christianity"", ""hinduism"", ""islam"", ""satire"", ""alien"", ""love"", ""religion"", ""sociology"", ""belief in god"", ""islamophobia"", ""pakistan vs india"", ""sikhism"", ""jainism"", ""religious satire""]","{""director"": [""Rajkumar Hirani""], ""writers"": [""Abhijat Joshi"", ""Rajkumar Hirani""], ""cinematographer"": [""C.K. Muraleedharan""], ""composer"": [""Ajay Gogavale"", ""Ankit Tiwari"", ""Atul Gogavale"", ""Shantanu Moitra""], ""editor"": [""Rajkumar Hirani""]}","A stranger in the city asks questions no one has asked before. Known only by his initials, the man's innocent questions and childlike curiosity take him on a journey of love, laughter and letting go."
custom,36107,More,1998,en,7.692,177,"Animation, Science Fiction",,"[""inventor"", ""capitalism"", ""dystopia"", ""stop motion"", ""short film"", ""35mm"", ""35mm film"", ""65mm film""]","{""director"": [""Mark Osborne""], ""writers"": [""Mark Osborne""], ""cinematographer"": [], ""composer"": [], ""editor"": [""Mark Osborne""]}","A factory worker in a dark, gray world assembles devices that promise happiness. In his spare time he tinkers to create something better, and finally succeeds in perfecting his invention, which allows people to see life through rose-colored glasses, but he has to pay a price for his success."
custom,413594,Sword Art Online the Movie: Ordinal Scale,2017,ja,7.69,756,"Animation, Action, Adventure, Fantasy, Science Fiction",,"[""video game"", ""virtual reality"", ""swordplay"", ""sword fight"", ""survival"", ""anime"", ""mmorpg"", ""vrmmo""]","{""director"": [""Tomohiko Ito""], ""writers"": [""Reki Kawahara"", ""Tomohiko Ito""], ""cinematographer"": [""Kentaro Waki""], ""composer"": [""Yuki Kajiura""], ""editor"": [""Shigeru Nishiyama""]}","In 2026, a new machine called the Augma is developed to compete against the NerveGear and its successor, the Amusphere. A next-gen wearable device, the Augma doesn't have a full-dive function like its predecessors. Instead, it uses Augmented Reality to get players into the game. It is safe, user-friendly and lets users play while they are conscious, making it an instant hit on the market. The most popular game on the system is “Ordinal Scale” an ARMMORPG developed exclusively for the Augma. Asuna and the gang have already been playing OS for a while, by the time Kirito decides to join them. They’re about to find out that Ordinal Scale isn’t all fun and games…"
custom,301566,Too Many Cooks,2014,en,7.686,140,"Horror, Comedy, Science Fiction, Crime",,"[""surrealism"", ""killer"", ""absurdist"", ""cooks""]","{""director"": [""Casper Kelly""], ""writers"": [""Casper Kelly""], ""cinematographer"": [], ""composer"": [], ""editor"": [""Paul Painter""]}","""Too Many Cooks"" is a humorous parody of US sitcoms of the 1970s and the 1980s, meanwhile what seems like an interminable opening theme, a mysterious killer makes his way and kills (preparing a lunch with their limbs) various members of the Cook Family."
custom,15999,Vampire Hunter D: Bloodlust,2001,ja,7.686,795,"Animation, Fantasy, Horror, Action, Adventure, Science Fiction",,"[""future"", ""bounty hunter"", ""based on novel or book"", ""chase"", ""vampire"", ""katana"", ""post-apocalyptic future"", ""gore"", ""betrayal"", ""tragic love"", ""adult animation"", ""anime"", ""mutants"", ""horror"", ""based on light novel""]","{""director"": [""Yoshiaki Kawajiri""], ""writers"": [""Yoshiaki Kawajiri""], ""cinematographer"": [""Hitoshi Yamaguchi""], ""composer"": [""Marco D'Ambrosio""], ""editor"": []}","D, a legendary dhampir competes with a motley family of bounty hunters to track down Charlotte Elbourne, a young woman who has seemingly been abducted by vampire nobleman Meier Link."
